node_id,vehicle_serial,gps_time,latitude,longitude,altitude,speed,heading
2055,PC3995D,2018-03-04T22:59:42.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:42.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:43.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:43.000Z,1.315133,103.69067,36,15,73.2
2031,PC3785T,2018-03-04T22:59:43.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:43.000Z,1.294683,103.77489,37,0,329.73
2055,PC3995D,2018-03-04T22:59:43.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:43.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:44.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:44.000Z,1.31515,103.69072,36,19,73.84
2031,PC3785T,2018-03-04T22:59:44.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:44.000Z,1.294683,103.77489,37,0,329.73
2060,PC4071M,2018-03-04T22:59:44.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:45.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:45.000Z,1.315167,103.69078,36,23,75.9
2031,PC3785T,2018-03-04T22:59:45.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:45.000Z,1.294683,103.77489,37,0,329.73
2025,PC3957P,2018-03-04T22:59:46.000Z,1.3098,103.77198,31,0,188.68
2031,PC3785T,2018-03-04T22:59:46.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:46.000Z,1.294683,103.77489,37,0,329.73
2025,PC3957P,2018-03-04T22:59:47.000Z,1.3098,103.77198,31,0,188.68
2031,PC3785T,2018-03-04T22:59:47.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:47.000Z,1.294683,103.77489,37,0,329.73
2025,PC3957P,2018-03-04T22:59:48.000Z,1.3098,103.77198,31,0,188.68
2031,PC3785T,2018-03-04T22:59:48.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:48.000Z,1.294683,103.77489,37,0,329.73
